AGE,GENDER,MARRIED,EVENT_ATTENDED,DONOR
94,Male,0,No,0
48,Female,1,Yes,0
59,Female,0,No,0
53,Male,1,No,0
48,Female,0,No,0
54,Female,0,Yes,1
47,Female,0,No,0
0,Male,0,No,0
84,Female,0,Yes,0
100,Female,0,No,0
52,Male,0,No,0
60,Female,0,No,0
59,Female,0,No,0
48,Female,0,No,0
54,Female,1,No,0
76,Female,0,No,0
0,Male,0,No,0
0,Female,0,Yes,1
0,Male,0,No,0
76,Female,0,No,0
86,Female,0,No,1
55,Male,1,No,1
49,Female,0,No,0
0,Female,0,No,0
81,Male,0,No,0
48,Male,1,No,0
50,Female,0,No,0
66,Female,0,No,0
63,Female,0,No,0
60,Female,0,No,0
46,Male,0,No,0
95,Male,0,No,0
0,Male,0,No,0
0,Male,0,No,0
52,Female,1,No,1
46,Female,1,No,0
46,Female,0,No,0
68,Female,0,Yes,0
48,Female,1,No,0
49,Female,0,No,0
0,Male,0,No,0
0,Female,0,No,0
0,Female,0,No,0
0,Female,1,No,1
51,Female,0,No,0
0,Female,0,No,0
0,Female,0,No,0
0,Male,0,No,0
0,Female,1,No,1
56,Female,0,No,0
52,Female,0,No,0
62,Female,0,No,0
61,Female,1,No,0
79,Female,0,No,0
86,Female,1,No,0
76,Female,0,No,0
77,Female,0,No,1
0,Male,1,No,0
0,Female,0,No,0
0,Female,0,No,0
0,Female,0,No,0
50,Female,0,No,0
67,Female,1,Yes,0
47,Female,1,No,0
46,Female,1,No,0
59,Female,0,No,0
76,Female,1,Yes,1
0,Male,0,No,0
0,Female,0,No,0
83,Male,1,No,0
0,Female,0,No,0
0,Female,0,No,0
71,Female,0,Yes,0
0,Female,0,No,0
0,Male,0,No,0
0,Female,1,No,0
70,Female,1,No,1
0,Female,0,No,0
0,Female,0,No,0
0,Male,0,Yes,0
0,Male,1,No,1
75,Male,0,Yes,1
0,Male,0,No,1
0,Female,0,No,0
81,Female,0,No,1
58,Female,1,No,0
51,Female,0,No,0
79,Female,1,Yes,0
0,Female,0,No,0
98,Female,1,No,1
0,Female,1,No,0
79,Female,0,No,0
64,Female,1,No,0
64,Female,0,No,0
63,Female,0,No,0
63,Female,0,No,0
45,Female,0,No,0
46,Female,0,No,0
51,Female,0,No,0
49,Female,0,Yes,0
63,Female,1,No,0
48,Female,0,No,0
68,Male,1,No,0
59,Female,0,No,0
48,Female,0,No,0
70,Female,0,No,0
71,Female,0,No,0
47,Female,1,No,0
60,Female,0,No,0
48,Female,0,No,0
52,Female,0,No,0
50,Female,0,No,0
66,Female,1,No,0
0,Female,1,No,0
61,Female,1,No,0
0,Female,1,No,0
75,Female,1,No,1
50,Female,1,No,1
54,Female,0,No,1
61,Female,1,No,0
64,Female,0,Yes,0
47,Female,1,No,0
46,Female,0,No,0
57,Female,0,No,0
50,Male,0,No,0
47,Female,0,Yes,0
46,Female,1,No,0
47,Female,0,No,0
45,Female,0,No,0
45,Female,0,No,0
47,Female,0,No,0
61,Female,1,No,0
0,Female,1,No,1
44,Female,0,No,0
49,Male,1,No,0
46,Female,0,No,0
47,Male,0,Yes,1
45,Female,0,No,0
46,Female,0,No,1
75,Female,0,Yes,0
48,Female,0,Yes,0
49,Female,0,No,0
49,Male,0,No,0
51,Female,0,No,0
50,Female,1,No,0
48,Female,0,No,0
46,Female,0,No,0
45,Female,0,No,0
60,Female,1,No,0
46,Female,0,No,0
57,Female,0,No,0
60,Female,0,No,0
50,Female,0,No,0
45,Female,0,No,0
52,Female,0,Yes,1
58,Female,0,No,0
46,Female,0,No,0
53,Female,0,No,0
56,Male,0,Yes,1
55,Female,0,Yes,0
59,Female,1,No,1
0,Female,1,No,1
0,Female,1,No,0
90,Male,0,No,0
72,Female,1,No,0
65,Female,1,Yes,1
0,Female,0,No,0
51,Male,0,No,0
55,Male,0,No,0
46,Female,0,Yes,1
48,Female,0,No,0
48,Female,0,No,0
46,Female,0,No,0
50,Female,0,No,0
46,Female,1,No,0
48,Female,0,No,0
56,Female,0,No,0
49,Female,0,No,0
49,Female,0,Yes,0
47,Male,0,No,0
46,Female,1,No,0
73,Male,0,No,0
45,Female,0,Yes,0
55,Female,0,No,0
49,Female,0,No,0
45,Female,0,No,0
45,Male,0,No,0
46,Female,1,No,0
46,Female,1,No,0
47,Female,1,No,1
60,Male,0,No,0
65,Female,1,Yes,1
57,Female,0,No,0
52,Female,0,No,1
62,Female,0,No,0
65,Female,1,No,0
48,Female,0,No,0
46,Female,1,No,1
55,Female,0,No,0
45,Female,0,No,0
44,Female,0,No,0
44,Female,0,No,0
62,Female,0,No,0
44,Male,0,No,0
66,Female,0,No,0
64,Female,0,Yes,0
62,Female,0,No,0
46,Female,1,No,0
62,Male,1,No,0
62,Female,0,No,0
77,Male,0,No,0
43,Female,0,No,0
43,Female,0,No,0
43,Male,0,No,0
50,Female,1,Yes,1
61,Female,0,No,0
46,Female,1,No,0
48,Female,0,No,0
50,Female,0,No,0
45,Female,0,No,0
46,Female,0,No,0
45,Female,1,Yes,0
46,Female,0,No,0
45,Female,0,No,0
47,Female,0,No,0
58,Male,0,No,0
49,Female,0,No,0
44,Female,1,No,0
49,Female,0,No,0
48,Female,0,No,0
77,Female,0,No,0
51,Female,0,No,0
44,Female,0,No,0
43,Female,0,No,0
43,Female,1,No,0
54,Female,1,No,0
89,Female,0,No,0
44,Female,0,No,0
64,Female,0,No,0
60,Female,0,No,0
43,Female,1,Yes,0
81,Female,0,No,0
79,Male,0,Yes,0
46,Female,1,No,0
52,Female,1,Yes,0
52,Female,1,No,0
66,Female,0,No,0
49,Female,0,Yes,0
60,Female,0,No,0
42,Female,1,Yes,0
62,Female,0,No,0
79,Female,1,No,0
87,Male,0,No,0
79,Female,0,No,0
83,Male,0,No,0
100,Female,0,No,0
77,Male,0,No,0
75,Female,0,No,1
74,Female,0,No,0
74,Male,0,No,0
44,Female,0,No,0
82,Female,0,No,0
83,Male,0,No,0
76,Male,0,No,0
93,Female,0,No,1
98,Female,0,No,0
76,Female,1,No,1
45,Female,0,No,0
70,Female,0,No,0
48,Female,1,No,0
47,Male,0,No,0
46,Female,0,No,0
51,Female,1,No,0
44,Female,1,No,0
79,Female,0,No,0
82,Male,0,No,0
79,Male,0,No,0
78,Male,1,No,0
60,Female,0,No,1
44,Female,1,No,0
44,Female,0,No,0
80,Male,0,No,1
105,Female,0,No,0
81,Male,0,No,0
76,Female,0,No,0
44,Male,0,No,0
82,Male,0,No,0
79,Female,0,No,0
103,Female,0,No,0
93,Female,0,No,1
76,Male,1,No,1
76,Female,0,No,0
63,Female,1,No,0
44,Female,0,No,0
43,Female,1,No,1
42,Female,0,No,0
74,Male,0,No,0
74,Female,0,No,1
75,Male,1,No,0
74,Female,0,No,0
48,Female,0,No,0
65,Female,0,No,0
53,Female,0,No,0
61,Male,0,No,0
62,Female,1,No,0
51,Female,1,Yes,0
42,Female,0,No,0
46,Female,0,No,0
53,Female,0,No,0
49,Female,0,No,0
62,Female,0,No,0
55,Female,1,Yes,0
44,Female,0,No,0
42,Female,1,No,0
46,Male,0,No,0
54,Female,0,No,0
44,Female,0,No,0
44,Female,0,No,0
43,Female,0,No,0
56,Female,0,No,0
82,Female,0,No,0
65,Female,0,No,0
46,Female,0,No,0
66,Female,0,No,0
46,Female,1,No,0
46,Female,0,No,0
75,Male,0,No,0
74,Male,0,No,0
47,Male,0,No,0
45,Female,1,No,0
48,Female,0,No,0
56,Female,0,Yes,0
44,Female,1,No,0
76,Male,0,No,0
76,Female,0,No,0
54,Female,1,No,0
67,Female,0,No,1
37,Female,1,No,0
28,Female,0,No,0
38,Male,1,Yes,1
54,Female,0,No,0
53,Female,0,No,0
56,Female,0,No,0
54,Female,0,No,0
70,Female,1,No,0
79,Female,0,No,0
74,Female,0,No,0
93,Male,0,No,0
66,Female,0,No,0
57,Female,0,No,0
53,Female,0,No,0
57,Male,0,No,0
55,Female,1,No,0
55,Female,0,No,0
55,Male,1,No,0
0,Female,0,No,0
56,Female,0,No,0
59,Female,1,No,0
55,Female,1,No,1
53,Male,0,No,0
59,Female,0,No,0
65,Male,0,No,0
57,Female,0,No,0
62,Female,0,No,0
93,Male,0,No,0
52,Female,0,No,0
79,Female,0,No,0
33,Female,0,No,1
52,Female,0,No,0
56,Female,0,No,0
81,Male,0,Yes,0
71,Female,1,Yes,0
53,Female,0,No,0
55,Female,0,No,0
52,Female,0,No,0
53,Female,0,No,0
59,Male,1,No,0
59,Female,0,No,0
63,Female,0,No,0
60,Female,0,No,0
67,Male,0,No,0
54,Female,0,No,0
30,Female,0,No,0
51,Female,0,No,0
59,Female,0,No,0
52,Female,0,No,0
60,Female,0,No,0
61,Female,0,No,0
64,Female,0,No,0
55,Male,0,No,0
55,Female,0,No,0
56,Female,0,No,0
57,Female,0,No,0
31,Female,0,Yes,0
52,Female,1,No,0
52,Female,0,No,0
26,Female,0,No,1
76,Male,0,No,0
75,Female,0,No,0
57,Female,0,No,0
53,Female,1,No,0
61,Male,0,No,0
62,Male,0,No,0
61,Female,0,No,0
60,Female,0,No,0
60,Female,0,No,0
79,Female,1,No,0
65,Male,1,No,0
52,Female,0,No,0
54,Female,0,No,0
53,Female,0,No,0
56,Female,0,No,0
69,Female,0,No,0
63,Male,1,No,0
67,Male,0,No,0
56,Female,0,No,0
